Thread ID: -605101858
Total: 151.380000

 %self     total     self     wait    child    calls  name
  7.14     26.73    10.81     0.00    15.92  1001000  <Class::ActiveRecord::Base>#instantiate
  2.24      5.36     3.39     0.00     1.97  1004000  Box(id: integer, number: integer, created_at: datetime, updated_at: datetime)#id
  2.08      3.15     3.15     0.00     0.00  2002006  Kernel#instance_variable_set
  1.90     10.21     2.88     0.00     7.33   500500  ActiveRecord::Base#==
  1.83      2.77     2.77     0.00     0.00  1018008  Hash#initialize_copy
  1.79      3.95     2.71     0.00     1.24  2114237  Hash#[]
  1.53      2.31     2.31     0.00     0.00  2019019  <Class::Hash>#allocate
  1.49      4.36     2.26     0.00     2.10  1001026  Class#new
  1.38     28.82     2.09     0.00    26.73     1001  Array#collect!
  1.35      2.04     2.04     0.00     0.00  2002000  Kernel#respond_to_without_attributes?
  1.22      7.47     1.84     0.00     5.63     1003  Array#collect
  1.20      5.64     1.82     0.00     3.82  1003005  Kernel#dup
  0.90      2.33     1.36     0.00     0.97  1001000  Class#allocate
  0.82      1.24     1.24     0.00     0.00  1047091  Hash#default
  0.80      1.21     1.21     0.00     0.00  1001000  <Class::ActiveRecord::Base>#inheritance_column
  0.70      1.06     1.06     0.00     0.00  1005003  String#to_i
  0.64      0.97     0.97     0.00     0.00  1001022  <Class::Object>#allocate
  0.59      0.89     0.89     0.00     0.00  1001009  Hash#initialize
  0.36      0.55     0.55     0.00     0.00   508554  Kernel#instance_of?
  0.36      0.54     0.54     0.00     0.00   500500  Kernel#equal?
  0.32      0.48     0.48     0.00     0.00   503531  Kernel#class
  0.30      0.45     0.45     0.00     0.00   503527  Fixnum#==
  0.27     10.62     0.41     0.00    10.21     1002  Array#index
  0.26      0.51     0.40     0.00     0.11     2000  <Object::ActionController::Routing::Route>#generate_raw
  0.12      0.20     0.18     0.00     0.02     8123  Rack::Lint::Assertion#assert
  0.12      0.36     0.18     0.00     0.18    10021  Hash#each
  0.07      1.97     0.11     0.00     1.86     3001  ActionView::Helpers::UrlHelper#link_to
  0.06      1.08     0.09     0.00     0.99     3000  ActionController::Routing::RouteSet#generate
  0.06      1.35     0.09     0.00     1.26     3000  ActionController::UrlRewriter#rewrite_path
  0.05     50.06     0.08     0.00    49.98    14017  Array#each-1
  0.05      0.38     0.08     0.00     0.30        2  String#each_line
  0.05      1.42     0.07     0.00     1.35     3000  ActionController::UrlRewriter#rewrite_url
  0.05      0.11     0.07     0.00     0.04     3000  ActionController::Routing::RouteSet#options_as_params
  0.05      1.35     0.07     0.00     1.28     2000  ActionView::Helpers::UrlHelper#url_for-1
  0.05      0.07     0.07     0.00     0.00    40040  Hash#delete
  0.04      0.06     0.06     0.00     0.00    50087  Hash#[]=
  0.03      0.05     0.05     0.00     0.00    42045  Module#===
  0.03      0.10     0.05     0.00     0.05     1000  <Object::ActionController::Routing::Route>#generate_raw
  0.03      0.07     0.04     0.00     0.03     2000  ActionController::PolymorphicRoutes#build_named_route_call
  0.03      0.04     0.04     0.00     0.00     5008  Fixnum#to_s
  0.03      0.04     0.04     0.00     0.00    42000  Symbol#to_sym
  0.03     49.95     0.04     0.00    49.91        1  ActionView::Base#render
  0.03      1.70     0.04     0.00     1.66     2000  ActionController::PolymorphicRoutes#polymorphic_url
  0.03      0.04     0.04     0.00     0.00     1001  <Class::ActiveRecord::Base>#add_joins!
  0.03      2.17     0.04     0.00     2.13     4001  ActionView::Helpers::UrlHelper#url_for
  0.03      0.04     0.04     0.00     0.00     8089  String#inspect
  0.03      0.04     0.04     0.00     0.00     7004  Hash#keys
  0.03      0.07     0.04     0.00     0.03     2000  #<Module:0xb723fa5c>#hash_for_box_path
  0.02      1.48     0.03     0.00     1.45     2000  #<Module:0xb723fa5c>#box_path
  0.02      0.03     0.03     0.00     0.00     9017  Module#name
  0.02      0.06     0.03     0.00     0.03    12005  Hash#merge
  0.02      0.15     0.03     0.00     0.12     4008  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.02      0.03     0.03     0.00     0.00    17011  String#gsub
  0.02      1.50     0.03     0.00     1.47     3000  ActionController::Base#url_for
  0.02      0.03     0.03     0.00     0.00     8047  Fixnum#+
  0.02      0.09     0.03     0.00     0.06     4011  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.02     36.76     0.03     0.00    36.73     1001  <Class::ActiveRecord::Base>#find_every
  0.02      0.08     0.03     0.00     0.05     3003  <Class::ActiveRecord::Base>#current_scoped_methods
  0.02      0.03     0.03     0.00     0.00    31035  String#to_s
  0.01      0.02     0.02     0.00     0.00     6047  Array#[]
  0.01      0.05     0.02     0.00     0.03     3003  <Class::ActiveRecord::Base>#scoped_methods
  0.01      0.02     0.02     0.00     0.00    12001  Object#to_param
  0.01     36.41     0.02     0.00    36.39     1001  <Class::ActiveRecord::Base>#find_by_sql
  0.01      0.03     0.02     0.00     0.01     2002  <Class::ActiveRecord::Base>#safe_to_array
  0.01      7.52     0.02     0.00     7.50     1001  ActiveRecord::ConnectionAdapters::QueryCache#cache_sql
  0.01      0.06     0.02     0.00     0.04     2000  ActiveSupport::CoreExtensions::Hash::Except#except
  0.01      0.02     0.02     0.00     0.00    21041  String#<<
  0.01      1.44     0.02     0.00     1.42     3000  ActionController::UrlRewriter#rewrite
  0.01      0.04     0.02     0.00     0.02     1000  ActionView::Helpers::UrlHelper#method_javascript_function
  0.01      0.04     0.02     0.00     0.02     1001  ActiveSupport::CoreExtensions::Hash::Keys#assert_valid_keys
  0.01      0.03     0.02     0.00     0.01     3000  URI::Escape#escape
  0.01      0.72     0.02     0.00     0.70     3000  ActionController::Routing::Route#generate
  0.01      0.04     0.02     0.00     0.02     3000  ActiveRecord::Base#to_param
  0.01      0.02     0.02     0.00     0.00        2  Mysql::Result#each_hash


